Physical Time: Physical Time (s),star
0.483,1473.72194
0.4835,1473.721868
0.484,1473.721795
0.4845,1473.721722
0.485,1473.721649
0.4855,1473.721574
0.486,1473.7215
0.4865,1473.721424
0.487,1473.721348
0.4875,1473.721271
0.488,1473.721194
0.4885,1473.721116
0.489,1473.721037
0.4895,1473.720958
0.49,1473.720878
0.4905,1473.720798
0.491,1473.720717
0.4915,1473.720636
0.492,1473.720554
0.4925,1473.720471
0.493,1473.720388
0.4935,1473.720304
0.494,1473.72022
0.4945,1473.720135
0.495,1473.720049
0.4955,1473.719963
0.496,1473.719877
0.4965,1473.719789
0.497,1473.719702
0.4975,1473.719613
0.498,1473.719525
0.4985,1473.719435
0.499,1473.719345
0.4995,1473.719255
0.5,1473.719164
0.5005,1473.719072
0.501,1473.71898
0.5015,1473.718888
0.502,1473.718795
0.5025,1473.718701
0.503,1473.718607
0.5035,1473.718512
0.504,1473.718417
0.5045,1473.718321
0.505,1473.718225
0.5055,1473.718128
0.506,1473.718031
0.5065,1473.717933
0.507,1473.717834
0.5075,1473.717736
0.508,1473.717636
0.5085,1473.717536
0.509,1473.717436
0.5095,1473.717335
0.51,1473.717234
0.5105,1473.717132
0.511,1473.71703
0.5115,1473.716927
0.512,1473.716824
0.5125,1473.71672
0.513,1473.716616
0.5135,1473.716511
0.514,1473.716406
0.5145,1473.7163
0.515,1473.716194
0.5155,1473.716088
0.516,1473.715981
0.5165,1473.715873
0.517,1473.715765
0.5175,1473.715657
0.518,1473.715548
0.5185,1473.715439
0.519,1473.715329
0.5195,1473.715219
0.52,1473.715108
0.5205,1473.714997
0.521,1473.714885
0.5215,1473.714773
0.522,1473.714661
0.5225,1473.714548
0.523,1473.714434
0.5235,1473.714321
0.524,1473.714206
0.5245,1473.714092
0.525,1473.713977
0.5255,1473.713861
0.526,1473.713745
0.5265,1473.713629
0.527,1473.713512
0.5275,1473.713395
0.528,1473.713277
0.5285,1473.713159
0.529,1473.713041
0.5295,1473.712922
0.53,1473.712803
0.5305,1473.712683
0.531,1473.712563
0.5315,1473.712443
0.532,1473.712322
0.5325,1473.7122
0.533,1473.712079
0.5335,1473.711957
0.534,1473.711834
0.5345,1473.711711
0.535,1473.711588
0.5355,1473.711465
0.536,1473.711341
0.5365,1473.711216
0.537,1473.711091
0.5375,1473.710966
0.538,1473.710841
0.5385,1473.710715
0.539,1473.710589
0.5395,1473.710462
0.54,1473.710335
0.5405,1473.710207
0.541,1473.71008
0.5415,1473.709952
0.542,1473.709823
0.5425,1473.709694
0.543,1473.709565
0.5435,1473.709435
0.544,1473.709305
0.5445,1473.709175
0.545,1473.709045
0.5455,1473.708914
0.546,1473.708782
0.5465,1473.70865
