Physical Time: Physical Time (s),star,cowan,parker,rectangle,star/ana
0.136,1473.3206570000,1473.144366,1473.159195,1473.14467983014,1.000095826
0.1365,1473.3225550000,1473.145426,1473.160414,1473.14573869912,1.000096439
0.137,1473.3244490000,1473.146484,1473.161632,1473.14679624025,1.000097052
0.1375,1473.3263390000,1473.14754,1473.162849,1473.14785241580,1.000097663
0.138,1473.3282250000,1473.148595,1473.164065,1473.14890718876,1.000098273
0.1385,1473.3301070000,1473.149649,1473.165281,1473.14996052274,1.000098882
0.139,1473.3319840000,1473.150701,1473.166495,1473.15101238206,1.000099489
0.1395,1473.3338570000,1473.151752,1473.167709,1473.15206273166,1.000100096
0.14,1473.3357260000,1473.152801,1473.168922,1473.15311153714,1.000100701
0.1405,1473.3375900000,1473.153849,1473.170133,1473.15415876474,1.000101305
0.141,1473.3394500000,1473.154895,1473.171344,1473.15520438133,1.000101907
0.1415,1473.3413050000,1473.155939,1473.172553,1473.15624835440,1.000102508
0.142,1473.3431560000,1473.156982,1473.173761,1473.15729065208,1.000103107
0.1425,1473.3450020000,1473.158023,1473.174968,1473.15833124308,1.000103706
0.143,1473.3468430000,1473.159062,1473.176174,1473.15937009673,1.000104302
0.1435,1473.3486800000,1473.160099,1473.177379,1473.16040718294,1.000104897
0.144,1473.3505120000,1473.161135,1473.178582,1473.16144247224,1.000105491
0.1445,1473.3523400000,1473.162169,1473.179784,1473.16247593570,1.000106084
0.145,1473.3541630000,1473.163201,1473.180985,1473.16350754500,1.000106675
0.1455,1473.3559810000,1473.164231,1473.182184,1473.16453727236,1.000107264
0.146,1473.3577940000,1473.165259,1473.183382,1473.16556509058,1.000107852
0.1465,1473.3596030000,1473.166285,1473.184578,1473.16659097299,1.000108439
0.147,1473.3614060000,1473.167309,1473.185773,1473.16761489350,1.000109024
0.1475,1473.3632050000,1473.168332,1473.186966,1473.16863682653,1.000109607
0.148,1473.3649990000,1473.169352,1473.188158,1473.16965674703,1.000110189
0.1485,1473.3667870000,1473.17037,1473.189348,1473.17067463050,1.000110769
0.149,1473.3685710000,1473.171386,1473.190536,1473.17169045293,1.000111349
0.1495,1473.3703500000,1473.172401,1473.191723,1473.17270419085,1.000111926
0.15,1473.3721240000,1473.173413,1473.192908,1473.17371582128,1.000112501
0.1505,1473.3738930000,1473.174422,1473.194092,1473.17472532173,1.000113075
0.151,1473.3756570000,1473.17543,1473.195274,1473.17573267021,1.000113648
0.1515,1473.3774150000,1473.176436,1473.196454,1473.17673784523,1.000114219
0.152,1473.3791690000,1473.177439,1473.197632,1473.17774082575,1.000114787
0.1525,1473.3809170000,1473.17844,1473.198809,1473.17874159123,1.000115355
0.153,1473.3826600000,1473.179439,1473.199983,1473.17974012157,1.000115921
0.1535,1473.3843980000,1473.180436,1473.201156,1473.18073639716,1.000116485
0.154,1473.3861310000,1473.18143,1473.202327,1473.18173039881,1.000117048
0.1545,1473.3878590000,1473.182422,1473.203496,1473.18272210781,1.000117609
0.155,1473.3895810000,1473.183412,1473.204663,1473.18371150586,1.000118168
0.1555,1473.3912980000,1473.184399,1473.205828,1473.18469857512,1.000118725
0.156,1473.3930100000,1473.185384,1473.206991,1473.18568329816,1.000119281
0.1565,1473.3947170000,1473.186367,1473.208153,1473.18666565800,1.000119835
0.157,1473.3964180000,1473.187347,1473.209312,1473.18764563804,1.000120387
0.1575,1473.3981140000,1473.188325,1473.210469,1473.18862322213,1.000120938
0.158,1473.3998050000,1473.189301,1473.211624,1473.18959839449,1.000121486
0.1585,1473.4014900000,1473.190274,1473.212777,1473.19057113977,1.000122034
